"","PFCF.ratio","PB.ratio","PTB.ratio","EV.to.Sales","Enterprise.Value.over.EBITDA","EV.to.Operating.cash.flow","EV.to.Free.cash.flow","Earnings.Yield","Free.Cash.Flow.Yield","Debt.to.Equity","Inventory.Turnover","ROE","Capex.per.Share","Gross.Profit.Growth","EBIT.Growth","Operating.Income.Growth","Net.Income.Growth","EPS.Growth","EPS.Diluted.Growth","Weighted.Average.Shares.Growth","Weighted.Average.Shares.Diluted.Growth","Dividends.per.Share.Growth","Operating.Cash.Flow.growth","Free.Cash.Flow.growth","X10Y.Revenue.Growth..per.Share.","X5Y.Revenue.Growth..per.Share.","X3Y.Revenue.Growth..per.Share.","X10Y.Operating.CF.Growth..per.Share.","X5Y.Operating.CF.Growth..per.Share.","X3Y.Operating.CF.Growth..per.Share.","X10Y.Net.Income.Growth..per.Share.","X5Y.Net.Income.Growth..per.Share.","X3Y.Net.Income.Growth..per.Share.","X10Y.Shareholders.Equity.Growth..per.Share.","X5Y.Shareholders.Equity.Growth..per.Share.","X3Y.Shareholders.Equity.Growth..per.Share.","X10Y.Dividend.per.Share.Growth..per.Share.","X5Y.Dividend.per.Share.Growth..per.Share.","X3Y.Dividend.per.Share.Growth..per.Share.","Receivables.growth","Inventory.Growth","Asset.Growth","Book.Value.per.Share.Growth","Debt.Growth","R.D.Expense.Growth","X2015.PRICE.VAR...."
"3408",114.8738,13.4287,23.6919,9.9078,0,67.0458,113.3241,-0.0377,0.0084,0.9964,0,-0.4834,-0.4859,0.5317,-10.8556,-10.5622,-6.7446,-6.093,-6.093,0.0818,0.0818,0,-0.2281,-0.432,NA,0.4158,-0.0121,NA,0,-0.1926,NA,0,0,NA,NA,0,NA,0,0,0.5495,0,1.5247,0.5903,0,0.6773,45.066712276313
"363",0,0.8675,0.8675,85.3333,0,-1.0864,-1.0577,-0.7593,-0.6622,0,0.2415,-0.575,-0.0109,0.7928,0.9351,0.923,0.9217,0.9269,0.9269,0.0706,0.0706,0,0.3379,0.3611,NA,-0.4388,-0.6105,NA,0,0,NA,0,0,NA,NA,-0.6444,NA,0,0,-1,2.3341,-0.2482,-0.3413,0,0.2083,-62.2641483440479
"3461",20.7121,10.5591,0,3.7696,23.4681,18.2032,22.5297,0.0146,0.0472,1.5091,0,0.1522,-0.4964,0.0731,-0.1154,-0.1005,-0.0716,-0.0735,-0.0746,0.0119,0.0083,0,0.0899,0.1248,0.1431,0.1152,0.1357,0.0969,0.0494,0.0957,0.078,-0.0056,-0.0641,0.0688,0.0866,0.0853,0,0.0371,0,0.1576,0,0.3348,0.1375,0.8349,0.1757,57.9605276728203
"3134",17.1576,0.8951,0.8951,6.8788,20.687,32.8402,35.4664,0.0406,0.0545,1.2463,0,0.036,-0.2394,0.1477,-0.2052,-0.2052,-0.1995,-0.1959,-0.2062,0.0018,0.0044,0,-0.7342,-0.7334,NA,NA,0.2052,NA,NA,0.1543,NA,NA,-0.0238,NA,NA,0.3159,NA,0,0,0,0,0.167,0.0527,0.1714,0,0.818146636242269
"241",7.9426,NA,NA,NA,NA,NA,NA,-0.0791,NA,0.1933,9.9411,-1.0122,-1.0548,-0.0142,0.2525,0.0955,-1.5977,-1.2719,-1.2719,0.0154,0.0154,0,-0.2049,-0.1643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1116,-0.1047,-0.2297,1.5679,-0.4756,0.1304,-22.5206267807401
"2682",38.7268,8.279,9.1072,5.2838,12.9345,30.3904,34.0848,0.0402,0.0258,0,0,0.3312,-0.1321,0.0858,0.115,0.1467,0.1085,0.0974,0.0927,0.0117,0.0124,-0.5111,-0.2806,-0.3012,0.0693,0.1915,0.0846,0.0079,0.1844,-0.101,0.2209,0,0.1027,0.0107,-0.0543,-0.0157,0.1597,0.3449,-0.1807,0.032,0,0.0211,0.0079,0,0,-24.5875645246993
"3125",8.4359,0.7477,0.9269,4.6131,12.4104,13.4453,15.3087,0.0836,0.1185,0.4183,0,0.0641,-0.2473,0.033,0.1778,0.1778,0.2046,0.2134,0.2172,-0.0111,NA,0.8333,0.1395,0.1229,NA,0.0599,0.0405,NA,0.807,0.1402,NA,0,0.1176,NA,0.0362,0.0251,0,0,0,0,0,0.0149,-0.0046,0.0932,0,20.0258963463385
"3610",0,41.8324,41.8324,27.6452,0,-11.0824,-10.9821,-0.1065,-0.0873,0.1309,0,-4.3529,-0.0273,0.5571,-0.0953,-0.0953,-0.0882,0.027,0.027,0.121,0.121,0,-0.3435,-0.3323,-0.5388,0,-0.1911,0,0,0,0,0,0,-0.5303,0,-0.4548,0,0,0,0.1414,0,-0.2501,-0.5406,0,0.0191,-27.5071686793475
"1068",27.1964,0,0,1.8685,19.0804,21.0602,31.7068,0.0333,0.0368,-1.7141,0,-0.3423,-1.4504,0.1145,0.1829,0.1731,0.2029,0.2683,0.27,-0.054,NA,0.2031,0.0737,-0.0367,0.0799,0.0971,0.0983,0.0805,0.1212,0.0995,0.0715,0,0.6507,0,0,0,0.1665,0.1728,-0.2869,0.0176,0,0.0057,-0.6435,0.196,0,-12.702582785163
"1710",31.7113,2.6669,5.214,1.1576,8.9271,20.7665,35.7698,0.0549,0.0315,0.6505,8.4464,0.1531,-2.9677,-0.1451,-0.3266,-0.2438,-0.3394,-0.3158,-0.315,-0.0814,NA,0.1405,-0.5609,-0.6511,0.114,0.133,0.0804,0.4176,-0.1186,0.0772,0.2087,0.0547,-0.0468,0.1477,0.103,0.0404,0.1912,0.1893,0.1618,0.0417,-0.0539,-0.0169,-0.1404,0.5951,0,-15.2778966349827
"3597",5.6389,0.9781,0.9781,0.0695,6.1322,4.9151,5.126,0.0877,0.1786,0.1895,11.4007,0.0857,-0.4103,0.0455,-0.0866,-0.1373,0.0209,0.0442,0.0467,-0.0219,-0.0243,0,2.0652,2.3407,0.0873,0.0848,0.1322,0.0645,0.1282,0.4012,0.0995,0.1565,0.0334,0.0658,0.1025,0.0825,0,0,0,-1e-04,0.0871,0.0496,0.1185,-0.2383,0,6.72025150997921
"2696",0,1.2872,1.3128,0.6914,2.4859,0.9336,0.9317,0.1396,-0.1377,0.1029,0,0.179,-0.1736,0.1734,6.5632,-0.7769,4.9599,4.8974,4.725,-3e-04,NA,0,-0.2817,-0.1788,0.0918,0.0986,0.1387,0,0,0,0.1708,0.5741,0.7799,-0.0186,-0.0201,0.0114,0,0,0,0,0,0.0855,0.2914,-0.0522,0,-38.3349474094309
"216",124.3968,NA,NA,NA,NA,NA,NA,-0.0435,0.0425,0.4704,4.339,-0.0258,-4.7556,0.4295,2.5032,1.5347,0.5733,0.6712,0.6712,0.2989,0.2989,0,-0.0992,-0.7571,NA,-0.0408,-0.1732,NA,-0.1977,0.1173,NA,0,0,NA,-0.1551,-0.1884,NA,-0.2567,-0.3563,-0.2436,-0.1006,-0.1169,-0.3493,-0.1127,0,-60.3362758737935
"2612",8.7416,15.8076,15.8076,4.0235,11.0642,13.5953,13.9441,-0.0054,0.1144,0,0,-0.0266,-0.0758,0.261,-0.8531,-0.319,-1.0429,NA,NA,-0.0034,NA,0,0.7756,0.7669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.2108,0,0.0469,-0.6322,0,0,-14.3950608135942
"1989",23.0843,5.0301,2.565,1.4352,11.5415,19.627,26.4786,0.0429,0.043,1.043,0,0.2144,-0.5179,0.148,0,0.2191,0.5306,0.5313,0.5263,0.0077,0.0073,0,-0.1118,-0.1668,0.0771,0.081,0.1386,0.1002,0.1725,0.2084,0.2841,0.649,0.2496,0.1166,0.2468,0.0576,0,0,0,0,0,0.0814,0.185,-0.0527,0,-0.259579874945701
"474",0,0,0,30.8681,0,-6.1077,-5.4962,-8.308,-0.1773,-0.0988,NA,0.2244,-2.2447,0.4527,-0.1634,-0.1654,-0.1983,-0.0948,-0.0948,0.0944,0.0944,0,-0.0827,-0.0888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0711,10
"2903",0,1.513,1.513,2.8169,5.6441,3.6191,-1.0593,0.0731,-1.1432,0,0,0.1112,-26.0178,0.0744,0.2028,0.197,0.1922,0.1905,0.192,-0.0141,0.0256,-0.8058,-0.2886,0.0022,0.0304,0.1667,0.1698,-0.0242,-0.0084,0.2655,0.0242,0.788,0.463,0.0546,0.0231,0.0194,0,0,0.986,0,0,0.0801,0.0823,0,0,-8.61859806604608
"3423",0,0.8632,2.3788,0.4248,11.8757,215.2119,-21.6005,-0.0631,-0.0531,0.2554,7.2411,0.0602,-0.1755,-0.0288,0.1431,-0.6788,-1.945,-1.8718,-1.8947,0.0337,0.0544,0,-0.9695,-0.0683,0.0335,0.1863,-0.042,0.1417,0.8263,-0.003,-0.0404,0,-0.2818,0.06,0.1762,0.0757,0,0,0,-0.0432,0.2791,0.1351,0.061,-0.1265,0.3553,-45.6475600414919
"3667",24.4499,NA,NA,NA,NA,NA,NA,-0.0087,-0.0119,0,9.8035,-0.0143,-0.1023,0.1824,0.5602,0.5602,0.6133,0.6,0.6,0.0141,0.0141,0,1.8226,1.5668,-0.0589,0.1344,0.0443,0,0,-0.0765,0,0,0,NA,0.1416,-0.0665,0,0,0,0.1869,-0.2674,0.0687,0.0154,0,0.0737,-36.6013074271904
"1771",6.9962,4.2064,4.5271,0.216,7.3416,3.5945,4.1511,0.031,0.1429,0,0,0.1372,-0.3751,0.0268,-0.1041,-0.1556,-0.1644,-0.16,-0.16,-0.0093,NA,3.0294,3.0882,4.2986,0.0934,0.076,0.0672,0.2981,1.8018,0.2501,0.0389,0.1131,-0.0217,0.0495,-0.0155,-0.0535,0,0.3943,0.6591,-0.1686,0,0.034,-0.1866,0,0,50.0873931546705
"768",0,1.4874,2.0912,0,0,-2.5702,-2.5669,-0.7425,-0.3244,0,0,-1.1049,-0.0036,0,-16.12,-16.2821,-16.4437,-4.7308,-4.7308,2.0397,2.0397,0,-15.6467,-15.6429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.3462,-0.1605,-1,59.5635,-0.65466384580944
"3112",9.514,0.8013,0.8013,13.0158,0,-10.8081,-10.8081,0.1736,0.1056,0.2473,0,0.1404,-0.0018,0.0544,0.6132,0.2545,0.5805,0.6136,0.6136,-0.0188,-0.0188,0,6.4291,6.3277,0.118,0.0717,0.2875,0,0,0.6616,0,0,0.5318,0.1236,0.0593,0.1226,0,0,0,1.8419,0,0.1453,0.1748,0.1429,0,-5.51378516502241
"2977",4.8838,0.9219,1.0941,6.0467,19.1247,17.8602,18.9176,0.054,0.2014,0.5013,0,0.05,-0.0637,0.1451,-0.3268,-0.3268,-0.2464,-0.3939,-0.3923,0.2333,0.2297,0,-0.5364,-0.5472,0.0487,0.0466,0.0065,0.0215,0,0.0999,-0.0221,0.0464,-0.0575,0.0865,0.0228,0.0618,0,0,0,0,0,0.2889,0.0332,0.529,0,21.3060967421517
"1992",28.3061,1.7191,1.7191,12.4315,13.6767,24.2736,17.9958,0.021,0.0348,1.5735,0,0.0366,-0.3981,0.2642,-0.0963,-0.0689,-0.4791,-0.5469,-0.5397,0.1226,0.1176,0.037,0.0685,-0.3719,0.1254,0.0472,0.154,0.0644,0.0196,0.0729,0.0229,-0.0857,0.074,-0.0382,-0.0111,0.0276,0,0.0098,0.0164,-0.0396,0,0.2808,-0.084,0.5296,0,-11.9877063092426
"2924",0.0236,NA,NA,NA,NA,NA,NA,1.4525,-0.0756,NA,NA,NA,-0.0939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25199.998548258
"425",33.8065,13.7202,336.5472,11.5598,30.8636,31.596,33.384,0.0223,0.0297,1.0532,20.9145,0.3065,-0.1872,0.1838,0.4249,0.3926,0.3793,0.4229,0.4226,-0.0302,-0.0286,0,0.2607,0.261,0.3243,0.2669,0.2158,0.3083,0.2869,0.2147,0.4095,0.2412,0.1984,0.2728,0.1118,0.1032,0,0,0,0.0992,0.1548,0.2961,0.2036,0.4493,0.0918,5.49683375413066
"2414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.9463126714545
"2113",5.7115,0.984,0.984,48.9991,58.9146,39.9235,39.9235,0.1816,0.1751,6.2189,0,0.1616,0,9.788,4.6156,4.6156,4.6156,3.2437,3.2437,0.7165,NA,-0.2282,-0.4013,-0.4013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2321,0,0.5863,-0.1146,0.5028,0,-17.1898971942821
"3800",8.4256,1.7538,2.078,0.7877,0,6.9113,7.7571,-0.053,0.1199,0,4.1958,-0.0953,-0.0795,-0.1347,-1.5751,-1.57,-1.4906,-1.5088,-1.5088,-0.0328,-0.0455,0.1481,1.428,2.087,0.0025,0.0035,-0.0291,-0.0175,-0.0416,0.4862,0,0,0,0.0215,0.015,-0.065,0,0,0,-0.3128,-0.1261,-0.1217,-0.1926,0,0.0583,61.5716779453075
"3295",0.7301,NA,NA,NA,NA,NA,NA,0.0297,0.0567,0.1502,147.4809,0.227,-71.5529,0.1086,0.092,0.1586,0.0661,0.0653,0.0644,-0.0921,-0.0914,0.125,-0.1252,-0.0957,0.2544,0.1451,0.2868,0.2334,0.1698,0.3077,0.2605,0.1856,0.2515,0.254,0.2215,0.2405,0,0.1761,-0.2789,0.0419,-0.3624,0.0365,0.0975,-0.2664,0,3.460078239857
"2379",0,0.9285,1.1081,3.1834,12.208,13.9384,-157.6274,0.066,-0.0083,0.2894,46.1233,0.0603,-2.0316,0.2788,0.2286,0.2495,-0.6718,0.7297,0.7297,0.0564,0.0564,0,0.1867,-1.9067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.1587,-0.241,0.0539,0.0214,0.0246,0,-49.437801041295
"3582",10.3406,1.4608,1.5692,0.1805,5.6131,8.6985,9.334,0.0711,0.0969,0.0878,34.9974,0.1049,-0.1829,0.0193,0.0789,0.0806,0.0657,0.1152,0.1159,-0.0453,-0.0446,0,0.4503,0.8023,0.0761,0.0748,0.0365,0.2134,8e-04,0.0182,0.0104,0.2027,-0.0579,0.0427,0.1148,0.102,0,0,0,0.0408,0.2343,0.0429,0.0538,-0.0575,0,0.279447522175118
"2396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.5760470295825
"975",0,9.7705,9.9442,0,0,-31.2661,-17.1235,-0.0638,-0.0501,0.1728,0,-0.582,-2.0424,0,-0.3281,-0.3152,-0.5325,-0.4211,-0.4211,0.1162,0.076,0,-0.0924,-0.9726,NA,0,0,NA,0,0,NA,0,0,NA,0.4438,0.2127,NA,0,0,0,0,1.6732,1.6136,0.1642,0.1953,-56.2962955898709
"739",0,4.9671,4.9784,4.6933,23.3899,33.6476,-978.0863,0.0105,-9e-04,0.0052,18.9712,0.0578,-1.0034,0.4238,1.3812,1.3546,-0.7316,-0.5658,-0.5588,57.5191,7.9821,0,0.1656,0.8845,NA,NA,-0.616,NA,NA,-0.4932,NA,NA,0,NA,NA,NA,NA,NA,0,0.8912,0.7928,0.7001,1.0324,-0.9423,0.2415,28.3701592706367
"3781",22.2204,1.0217,1.0363,0.4891,11.9783,9.257,28.4685,0.0217,0.045,0.3224,4.6418,0.0221,-0.4306,0.0988,0.77,1.8246,16.9728,11,11,0.045,NA,0,0.2615,3.2942,0.046,0.0618,0.0126,0.0101,0.086,0.196,-0.0289,0,-0.0196,-0.0088,-0.0234,0.0029,0,0,0.1696,0.4009,-0.0393,0.1018,-0.0174,-0.0252,0,-38.5357822195632
"1402",6.4702,1.5651,1.6082,0.467,5.7563,5.0831,7.3917,0.0754,0.1546,0.5684,31.7602,0.1179,-1.3864,0.1118,0.3011,0.4048,0.3986,0.4057,0.4057,-4e-04,-4e-04,0,0.2235,0.6432,0.0729,0.0612,0.0753,0.096,0.0971,0.2382,0.2058,0.1487,0.2408,0.0915,0.1037,0.1068,-1,0,-1,1.0391,0.0937,0.0701,0.1336,-0.0159,0,-27.3146156348274
"345",17.244,2.1273,2.3305,0.9845,8.4254,9.9061,15.2617,0.0468,0.0576,0,12.8038,0.0992,-1.1519,0.0819,0.1082,0.109,0.0565,0.0488,0.0556,0.0076,0.0056,0.0588,-0.0243,1.4833,0.1217,0.0354,0.0442,0.163,0.066,0.0568,0.1179,-0.0585,-0.0466,0.1004,0.1131,0.0916,0.0718,0.0672,0.0094,0.0564,-0.0715,0.0677,0.0638,0,0,-13.2913190543767
"1377",0,1.3415,1.387,0.4089,6.2845,14.1435,-44.6562,0.0261,-0.0242,0.1391,3.7944,0.0366,-1.9124,-0.0486,-0.4694,-0.3743,-0.5641,-0.575,-0.5714,0.0242,0.0225,0.2895,-0.3876,-1.5562,0.0825,0.0488,0.0876,-0.1517,-0.1933,-0.1111,-0.084,0,-0.196,0.0258,0.0383,0.0296,0,0.1963,0.2352,0,0.0495,0.0201,-0.0455,4.1282,0,-53.4455165436624
"2100",0,1.6708,1.6708,10.1241,18.7666,23.9699,-37.9586,0.0143,-0.0398,1.1392,0,0.0241,-4.1463,0.1249,-0.1589,0.1763,-0.3995,-0.404,-0.4082,0.0026,0.0031,0.0586,0.0631,0.1365,0.095,0.0325,0.1016,0.2028,0.0862,0.109,0,0,-0.0989,NA,0.0612,0.0775,0,0.0213,0.0357,0.0982,0,0.0423,-0.0084,0.0832,0,2.20311976301144
"2454",106.1111,NA,NA,NA,NA,NA,NA,-0.0352,NA,0.3461,12.2323,-0.042,-61.6207,-1.0796,-1.1679,-1.2626,-1.3298,-1.3299,-1.3299,-0.0207,NA,1.2828,-0.2775,-0.3865,0.0605,0.1292,0.0118,-0.0404,0.0256,0.1737,0,0,0,-0.039,0.0061,-0.0272,0.0375,0,-0.0793,-0.4024,-0.3575,-0.1739,-0.0887,-0.2757,0,33.8856992064226
"1506",0,2.6857,2.6857,1.0709,6.7452,11.0907,-399.8862,0.044,-0.0026,0.0899,127.4638,0.1183,-2.9435,0.0919,0.1441,0.1457,0.1367,0.1513,0.1525,-0.0102,-0.0094,0.25,-0.1114,-1.0711,0.0343,0.0499,0.0253,1e-04,0.0109,-0.0763,0.0218,0.1162,-0.0105,0.0171,0.033,0.0509,0.0762,-0.2964,-0.2905,0.1841,0.1322,0.0933,0.0905,0.875,0,-24.2231589089112
"2234",15.6546,NA,NA,NA,NA,NA,NA,0.0222,NA,1.3592,55.0622,0.0313,-1.8519,-0.1528,-0.2728,-0.2872,-0.5653,-0.6157,-0.6157,-0.1199,NA,0.1971,-0.1199,-0.1017,NA,0.0057,-0.0232,NA,-0.0596,-0.0991,NA,-0.1855,-0.3667,NA,0.0518,0.0468,NA,-0.1736,-0.2534,-0.069,-0.0204,-0.0935,0.0685,-0.0566,0,2.66744943516041
"340",0,0,0,49.354,0,-20.765,-20.5655,-1.7438,-0.0489,-0.1708,2.512,0.2163,-1.3681,-0.1413,-0.3451,-0.4341,-0.6731,-0.6656,-0.6656,0.0038,0.0038,0,-0.5174,-0.5163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3887,-0.1383,1.6084,-3.8819,-0.0012,0.1913,-58.3561649061229
"2042",6.7171,NA,NA,NA,NA,NA,NA,-0.102,0.3375,0.4396,136.5756,-0.0769,16.0164,-0.1026,-0.4799,-0.2565,-3.1788,-3.1951,-3.1951,-0.3382,NA,-0.532,-0.0051,0.218,0.2709,0.3799,0.5759,0.3315,0.4447,0.6513,0,0,0,0.2678,0.5994,0.946,0,0,-0.2711,-0.3812,-0.3107,0.7983,1.4634,-0.1953,0,-20.1816963649637
"1748",28.1033,2.2269,2.2269,2.2719,23.7767,16.8167,21.2885,0.0181,0.0349,0,4.4447,0.0401,-0.3195,0.0116,0.3827,2.2664,0.3157,0.2979,0.2766,0.0129,0.0147,0,0.1628,0.5429,0.1054,-0.009,-0.0598,0.273,-0.0427,-0.0064,0.1255,-0.1185,-0.2003,NA,0.092,0.0788,0,0,0,0.3731,-0.1896,0.0646,0.0728,0,-0.3144,9.35064370714393
"3580",20.8587,NA,NA,NA,NA,NA,NA,0.0684,-0.1814,0,0,0.1533,-2.9314,0.1516,-0.0382,-0.0623,-0.0783,-0.0633,-0.0642,-0.0342,-0.0329,0,-0.23,-0.2681,NA,0.2492,0.1363,NA,0,0.5331,NA,2.3883,0.2979,NA,1.2792,0.0381,NA,0,0,0.3707,0,0.1079,0.085,0,0.3516,-28.3333314074873
"578",0,3.0506,3.12,8.1623,0,-6.5443,-5.8003,-0.1586,-0.1151,0,0,-0.4778,-0.1618,0.4733,0.0905,0.093,0.0905,0.1033,0.1033,0.0149,0.0149,0,0.2495,0.2363,0.0623,0.1488,-0.4374,0,0,0,0,0,0,-6e-04,0.1119,-0.2095,0,0,0,-0.3739,0,-0.1913,-0.2466,0,0.0239,22.949465847555
"3073",8.9174,0.8085,0.9716,1.4346,15.1231,13.3886,13.3886,0.0667,0.1128,0.1406,0,0.0544,0,-0.0724,0.0044,-0.1034,0.1825,0.1923,0.1948,-0.0162,-0.0131,1,1.1684,1.1684,0.076,0.0569,0.0848,0.0068,0,-0.0046,-0.0454,0,0.0803,0.0346,0.0544,0.0492,0.0385,0.0924,0.1587,-0.2247,0,-0.0574,0.1333,-0.0453,0,0.197639876038216
"1565",11.9076,3.7804,0,1.4369,9.4678,11.5333,15.3777,0.0423,0.0837,1.5457,5.8288,0.1586,-0.2318,0.1108,0.2152,0.2754,0.3603,0.3462,0.36,0.0095,0.0119,0,0.2936,0.4265,NA,-0.0948,0.0621,NA,-0.037,0.5339,NA,0,0,NA,-0.1009,-0.0342,0,0,0,0.107,-0.0504,0.0239,0.0562,-0.0995,0,-13.6946267646318
